"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals"
"SATA","671475.326298773","714169.112419517","714003.833896943","45487.3464051807","626137.296282209","192700.655149136","192739.323263681"
"USDT","1679358.737835","2693891.69456","2693891.69456","-","-","2690944.280297","2690944.280297"
"OCEAN","686210.159072237","686222.88035469","686222.88035469","-","-","129985.990964911","129985.990964911"
"BMI","16564.3628184903","16564.3628184903","16564.3628184903","-","-","-","-"
"NDX","144.572504629112","144.580325976102","144.580325976102","-","-","113.751340014564","113.751340014564"
"FXS","1500.66308395332","1500.66308395332","1500.66308395332","-","-","490.814981436962","490.814981436962"
"SHIBGF","99743839280036.6","104083189559067","104016090494644","35958.1912977546","22069130575328.","13681701352236.7","13690190531131."
"DATA","130714.479535852","153017.62914602","153017.62914602","-","-","39708.0781121725","39708.0781121725"
"WXT","221731.203314976","221731.203314976","221731.203314976","-","-","125033.274638976","125033.274638976"
"APW","83365.7944247296","83365.8252322833","83365.8252322833","-","-","78516.8665465751","78516.8665465751"
"rETH","45.2822699013114","49.295138055845","49.2886405009099","25620.3132612563","11.2675826177686","49.2886405009099","49.2945396845331"
"THALES","429504.808814196","498346.564912988","498289.912191089","24197.0706271175","58642.7728681118","498289.912191089","498336.524585467"
"EWTB","6142.94366187205","6143.00510205211","6143.00510205211","-","-","6000.","6000."
"RPL","6317.37156192574","9612.05768196022","9607.79315073246","54532.1651179554","2565.63331670241","4167.67348189716","4169.4067914432"
"wstETH","27.5299912539814","27.5299912539814","27.5299912539814","-","-","6.01765792442727","6.01765792442727"
"xSUSHI","111.535514676309","111.535514676309","111.535514676309","-","-","111.535514676309","111.535514676309"
"DRC","10036754.","10037494.","10037494.","-","0.","10037494.","10037494."
"FARM","47.5378684870939","47.5380584029865","47.5380584029865","-","-","5.78421715371279","5.78421715371279"
"DYDX","1290.8505831068","1290.8505831068","1290.8505831068","-","-","1077.45413214273","1077.45413214273"
