"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD"
"SATA","511235.393145631","531638.892650449","531500.012319443","35568.4437721541","511235.393145631","430653.668847919","430753.357111131","530309.795418822","509957.304662767","-","0.96162","-20352.4907560558",0.0354526,"-721.55"
"USDT","1704496.740074","2759817.540522","2759817.540522","-","-","2703773.172624","2703773.172624","2752917.99667","1700235.498223","-","0.61761","-1052682.498447",1.001,"-1053735.18"
"OCEAN","916710.520915431","916723.331255751","916723.331255751","-","-","147832.464157463","147832.464157463","914431.522927611","914431.522927611","-","1.00000","-",,
"BMI","16564.3628184903","16564.3628184903","16564.3628184903","-","-","-","-","16522.9519114441","16522.9519114441","-","1.00000","-",,
"NDX","144.572504629112","144.580325976102","144.580325976102","-","-","113.751340014564","113.751340014564","144.218875161161","144.218875161161","-","1.00000","-",,
"FXS","1017.07482003661","1015.86281937517","1015.86281937517","-","-","6.01471685880912","6.01471685880912","1013.32316232673","1013.32316232673","-","1.00000","-",,
"SHIBGF","98689468546563.4","104085595777589","104016090494644","37767.7613970177","21014759841854.8","13681701352236.7","13690190531131.","103825381788145","103442744875197","-","0.99631","-382636912947.87",8.94826e-10,"-342.39"
"DATA","130714.479535852","153017.62914602","153017.62914602","-","-","39708.0781121725","39708.0781121725","152635.085073155","130387.693337013","-","0.85424","-22247.3917361418",0.02865726,"-637.55"
"WXT","97010.5118625974","96697.928676","96697.928676","-","-","-","-","96456.18385431","96456.18385431","-","1.00000","-",,
"APW","70072.9939446789","70039.7094628089","70039.7094628089","-","-","65190.7507771007","65190.7507771007","69864.6101891519","69864.6101891519","-","1.00000","-",,
"rETH","22.1537529048338","24.2930266607042","24.2894515256146","26129.1586245588","11.0485282121989","24.2894515256146","24.2923586444396","24.2322940940525","22.0983685225717","-","0.91194","-2.13392557148074",1138.28,"-2429.00"
"EWTB","6142.94366187205","6143.00510205211","6143.00510205211","-","-","6000.","6000.","6127.64758929698","6127.64758929698","-","1.00000","-",,
"RPL","6341.16898167837","9612.11418807483","9607.79315073246","54034.2647159414","2589.43073645504","4167.67348189716","4169.4067914432","9588.08390260464","6325.31605922417","-","0.65971","-3262.76784338047",10.13,"-33051.84"
"wstETH","21.5273774743652","21.5123333295541","21.5123333295541","-","-","-","-","21.4585524962303","21.4585524962303","-","1.00000","-",,
"xSUSHI","111.535514676309","111.535514676309","111.535514676309","-","-","111.535514676309","111.535514676309","111.256675889618","111.256675889618","-","1.00000","-",,
"DRC","10036754.","10037494.","10037494.","-","0.","10037494.","10037494.","10012400.","10012400.","-","1.00000","0.",,
"FARM","47.5378684870939","47.5380584029865","47.5380584029865","-","-","5.78421715371279","5.78421715371279","47.419213256979","47.419213256979","-","1.00000","-",,
"DYDX","1290.8505831068","1290.8505831068","1290.8505831068","-","-","1077.45413214273","1077.45413214273","1287.62345664903","1287.62345664903","-","1.00000","-",,
