"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","bnTKN:TKN Value","Base Token Surplus/Deficit","Implied IL"
"ARCONA","1571217.50814082","1607697.47361007","1600850.68126244","84770.478945579","698840.081896278","-","-","1.0042769712552","-36479.9654692517","0.97731"
"eRSDL","2045432.51237253","2045421.81407245","2045421.81407245","-","-","1391810.06231325","1391810.06231325","1.00000000000000e-18","10.6983000779736","1.00001"
"PLR","325250.648539714","325282.993495684","325282.993495684","-","-","-","-","1.00000000000000e-18","-32.3449559702285","0.99990"
"LRC","24694.6548157453","24621.2077358157","24621.2077358157","-","-","16915.9267431963","16915.9267431963","1.00000000000000e-18","73.4470799295996","1.00298"
"KTN","1600.24881007521","1600.36417414622","1600.36417414622","-","-","1600.36417414622","1600.36417414622","1.00000000000000e-18","-0.115364071018972","0.99993"
"DDX","61366.2074650594","64969.6604067708","64872.9985308886","26156.8371570692","15515.3113781712","51243.5764959403","51297.8704225973","1.00149001708062","-3603.45294171135","0.94454"
"MLN","451.006589821377","451.015778302346","451.015778302346","-","-","414.393846781395","414.393846781395","1.00000000000000e-18","-0.0091884809689169","0.99998"
"IDLE","385671.396763496","385802.885953133","385802.885953133","-","-","-","-","1.00000000000000e-18","-131.489189636377","0.99966"
"SATA","490972.984450779","531638.892650449","531500.012319443","37033.7780170101","490972.984450779","430653.668847919","430753.357111131","1.00026129882932","-40665.9081996695","0.92351"
"USDT","1701524.370092","2753272.34472","2753272.34472","-","-","2703460.147261","2703460.147261","0.000001","-1051747.974628","0.61800"
"OCEAN","915566.743629747","915579.519166307","915579.519166307","-","-","129985.990964911","129985.990964911","1.00000000000000e-18","-12.7755365599528","0.99999"
"BMI","16564.3628184903","16564.3628184903","16564.3628184903","-","-","-","-","1.00000000000000e-18","-1.10000000000000e-17","1.00000"
"NDX","144.572504629112","144.580325976102","144.580325976102","-","-","113.751340014564","113.751340014564","1.00000000000000e-18","-0.00782134698981514","0.99995"
"FXS","1017.07482003661","1015.86281937517","1015.86281937517","-","-","6.01471685880912","6.01471685880912","1.00000000000000e-18","1.21200066144538","1.00119"
"SHIBGF","98331247465278.9","104085595777589","104016090494644","38421.5887716157","20656538760570.3","13681701352236.7","13690190531131.","1.00066821664431","-5754348312309.87","0.94472"
"DATA","130714.479535852","153017.62914602","153017.62914602","-","-","39708.0781121725","39708.0781121725","1.00000000000000e-18","-22303.1496101673","0.85424"
"WXT","97010.5118625974","96697.928676","96697.928676","-","-","-","-","1.00000000000000e-18","312.583186597439","1.00323"
"APW","70072.9939446789","70039.7094628089","70039.7094628089","-","-","65190.7507771007","65190.7507771007","1.00000000000000e-18","33.2844818700377","1.00048"
"rETH","22.1537529048338","24.2930266607042","24.2894515256146","26129.1586245588","11.0485282121989","24.2894515256146","24.2923586444396","1.00014718879452","-2.13927375587042","0.91194"
"THALES","1086.23402785564","-","-","-","-","-","-","-","-",
"EWTB","6142.94366187205","6143.00510205211","6143.00510205211","-","-","6000.","6000.","1.00000000000000e-18","-0.0614401800621508","0.99999"
"RPL","6284.19914875748","9612.11418807483","9607.79315073246","55247.7083871232","2532.46090353416","4167.67348189716","4169.4067914432","1.00044974296122","-3327.91503931735","0.65378"
"wstETH","27.5299912539814","27.5299912539814","27.5299912539814","-","-","6.01765792442727","6.01765792442727","1.00000000000000e-18","-","1.00000"
"xSUSHI","111.535514676309","111.535514676309","111.535514676309","-","-","111.535514676309","111.535514676309","1.00000000000000e-18","-","1.00000"
"DRC","10036754.","10037494.","10037494.","-","0.","10037494.","10037494.","1.","-740.","0.99993"
"FARM","47.5378684870939","47.5380584029865","47.5380584029865","-","-","5.78421715371279","5.78421715371279","1.00000000000000e-18","-0.000189915892530382","1.00000"
"DYDX","1290.8505831068","1290.8505831068","1290.8505831068","-","-","1077.45413214273","1077.45413214273","1.00000000000000e-18","-","1.00000"
